"room_id","topic","duplicate_statement_id","duplicate_text","duplicate_timestamp","target_statement_id","target_text","target_timestamp","similarity","target_was_already_duplicate"
"fksripew6vimocyncyw","Scalability test room","tj7a37m5clmmocyndph","Solar panels should be required on all new construction","1777038200042","n9wbepumm7smocyndph","Solar panels should be required on all new construction","1777038196508","1","false"
"fksripew6vimocyncyw","Scalability test room","5fx96vbqd5gmocyndpg","Electric vehicle charging should be publicly funded","1777038233820","0iahd8bgt0nnmocyndph","Electric vehicle charging should be publicly funded","1777038233357","1","false"
"fksripew6vimocyncyw","Scalability test room","8u0wdnxmnzvmocyndpg","Solar panels should be required on all new construction","1777038236504","n9wbepumm7smocyndph","Solar panels should be required on all new construction","1777038196508","1","false"
"fksripew6vimocyncyw","Scalability test room","xm86cdcmyxmocyndph","Rent control protects long-term residents from displacement","1777038237508","0m2x18tokdfmocyndpg","Rent control protects long-term residents from displacement","1777038214129","1","false"
"fksripew6vimocyncyw","Scalability test room","e99t3qy00ukmocyndph","Affordable housing quotas should apply to all new developments","1777038268226","ymwt7s753yemocyndph","Affordable housing quotas should apply to all new developments","1777038191245","1","false"
"fksripew6vimocyncyw","Scalability test room","j0fin24dngjmocyndph","Pedestrian-first street design reduces traffic accidents","1777038290891","38jtdv5c7lfmocyndph","Pedestrian-first street design reduces traffic accidents","1777038277030","1","false"
"fksripew6vimocyncyw","Scalability test room","l35xxnustzmocyndpg","Mixed-use zoning makes neighborhoods more livable","1777038307556","f3jrnyn5ljimocyndph","Mixed-use zoning makes neighborhoods more livable","1777038212394","1","false"
"fksripew6vimocyncyw","Scalability test room","huo3gevmc6mocyndph","Street parking fees should fund public transportation","1777038314293","53zoz9ljx38mocyndph","Street parking fees should fund public transportation","1777038214655","1","false"
"fksripew6vimocyncyw","Scalability test room","acq9fg6v3ppmocyndpg","Rent control protects long-term residents from displacement","1777038314689","0m2x18tokdfmocyndpg","Rent control protects long-term residents from displacement","1777038214129","1","false"
"fksripew6vimocyncyw","Scalability test room","nbob2cecc2mocyndpg","Urban density reduces per-capita carbon footprint","1777038315224","vijo8zfil3mocyndph","Urban density reduces per-capita carbon footprint","1777038231228","1","false"
"fksripew6vimocyncyw","Scalability test room","hviikz11x0imocyndph","Trees on residential streets should be protected by law","1777038316104","ou1m2ysw7rmocyndpg","Trees on residential streets should be protected by law","1777038208005","1","false"
"fksripew6vimocyncyw","Scalability test room","e0y45jaxumocyndpg","Local businesses deserve priority over national chains","1777038323054","i8t7rph3eabmocyndph","Local businesses deserve priority over national chains","1777038211631","1","false"
"fksripew6vimocyncyw","Scalability test room","3mvm2g1k5okmocyndpg","Green spaces improve mental health in urban environments","1777038335412","4et2f6n7jgtmocyndpg","Green spaces improve mental health in urban environments","1777038223040","1","false"
